# File written by the predict_spectrum.py script.
# frequency (cm^-1)	Intensity
2.37969e+02	1.56407e-02
2.38669e+02	1.56674e-02
2.39370e+02	1.56941e-02
2.40070e+02	1.57208e-02
2.40770e+02	1.57477e-02
2.41471e+02	1.57746e-02
2.42171e+02	1.58015e-02
2.42871e+02	1.58286e-02
2.43572e+02	1.58557e-02
2.44272e+02	1.58829e-02
2.44972e+02	1.59101e-02
2.45673e+02	1.59375e-02
2.46373e+02	1.59649e-02
2.47074e+02	1.59923e-02
2.47774e+02	1.60199e-02
2.48474e+02	1.60475e-02
2.49175e+02	1.60752e-02
2.49875e+02	1.61029e-02
2.50575e+02	1.61308e-02
2.51276e+02	1.61587e-02
2.51976e+02	1.61866e-02
2.52676e+02	1.62147e-02
2.53377e+02	1.62428e-02
2.54077e+02	1.62710e-02
2.54777e+02	1.62993e-02
2.55478e+02	1.63276e-02
2.56178e+02	1.63561e-02
2.56878e+02	1.63845e-02
2.57579e+02	1.64131e-02
2.58279e+02	1.64418e-02
2.58979e+02	1.64705e-02
2.59680e+02	1.64993e-02
2.60380e+02	1.65282e-02
2.61081e+02	1.65571e-02
2.61781e+02	1.65861e-02
2.62481e+02	1.66152e-02
2.63182e+02	1.66444e-02
2.63882e+02	1.66737e-02
2.64582e+02	1.67030e-02
2.65283e+02	1.67324e-02
2.65983e+02	1.67619e-02
2.66683e+02	1.67915e-02
2.67384e+02	1.68211e-02
2.68084e+02	1.68509e-02
2.68784e+02	1.68807e-02
2.69485e+02	1.69106e-02
2.70185e+02	1.69406e-02
2.70885e+02	1.69706e-02
2.71586e+02	1.70007e-02
2.72286e+02	1.70309e-02
2.72986e+02	1.70612e-02
2.73687e+02	1.70916e-02
2.74387e+02	1.71221e-02
2.75088e+02	1.71526e-02
2.75788e+02	1.71832e-02
2.76488e+02	1.72139e-02
2.77189e+02	1.72447e-02
2.77889e+02	1.72756e-02
2.78589e+02	1.73066e-02
2.79290e+02	1.73376e-02
2.79990e+02	1.73687e-02
2.80690e+02	1.73999e-02
2.81391e+02	1.74312e-02
2.82091e+02	1.74626e-02
2.82791e+02	1.74941e-02
2.83492e+02	1.75256e-02
2.84192e+02	1.75573e-02
2.84892e+02	1.75890e-02
2.85593e+02	1.76208e-02
2.86293e+02	1.76527e-02
2.86993e+02	1.76847e-02
2.87694e+02	1.77167e-02
2.88394e+02	1.77489e-02
2.89095e+02	1.77812e-02
2.89795e+02	1.78135e-02
2.90495e+02	1.78459e-02
2.91196e+02	1.78784e-02
2.91896e+02	1.79110e-02
2.92596e+02	1.79437e-02
2.93297e+02	1.79765e-02
2.93997e+02	1.80094e-02
2.94697e+02	1.80424e-02
2.95398e+02	1.80754e-02
2.96098e+02	1.81086e-02
2.96798e+02	1.81418e-02
2.97499e+02	1.81752e-02
2.98199e+02	1.82086e-02
2.98899e+02	1.82421e-02
2.99600e+02	1.82757e-02
3.00300e+02	1.83095e-02
3.01001e+02	1.83433e-02
3.01701e+02	1.83772e-02
3.02401e+02	1.84112e-02
3.03102e+02	1.84452e-02
3.03802e+02	1.84794e-02
