# File written by the predict_spectrum.py script.
# frequency (cm^-1)	Intensity
2.37969e+02	2.27733e-02
2.38669e+02	2.28126e-02
2.39370e+02	2.28519e-02
2.40070e+02	2.28914e-02
2.40770e+02	2.29309e-02
2.41471e+02	2.29706e-02
2.42171e+02	2.30104e-02
2.42871e+02	2.30502e-02
2.43572e+02	2.30902e-02
2.44272e+02	2.31303e-02
2.44972e+02	2.31705e-02
2.45673e+02	2.32107e-02
2.46373e+02	2.32511e-02
2.47074e+02	2.32916e-02
2.47774e+02	2.33322e-02
2.48474e+02	2.33729e-02
2.49175e+02	2.34138e-02
2.49875e+02	2.34547e-02
2.50575e+02	2.34957e-02
2.51276e+02	2.35369e-02
2.51976e+02	2.35781e-02
2.52676e+02	2.36195e-02
2.53377e+02	2.36609e-02
2.54077e+02	2.37025e-02
2.54777e+02	2.37442e-02
2.55478e+02	2.37860e-02
2.56178e+02	2.38279e-02
2.56878e+02	2.38699e-02
2.57579e+02	2.39121e-02
2.58279e+02	2.39543e-02
2.58979e+02	2.39967e-02
2.59680e+02	2.40391e-02
2.60380e+02	2.40817e-02
2.61081e+02	2.41244e-02
2.61781e+02	2.41673e-02
2.62481e+02	2.42102e-02
2.63182e+02	2.42532e-02
2.63882e+02	2.42964e-02
2.64582e+02	2.43397e-02
2.65283e+02	2.43831e-02
2.65983e+02	2.44266e-02
2.66683e+02	2.44702e-02
2.67384e+02	2.45139e-02
2.68084e+02	2.45578e-02
2.68784e+02	2.46018e-02
2.69485e+02	2.46459e-02
2.70185e+02	2.46901e-02
2.70885e+02	2.47345e-02
2.71586e+02	2.47789e-02
2.72286e+02	2.48235e-02
2.72986e+02	2.48682e-02
2.73687e+02	2.49130e-02
2.74387e+02	2.49580e-02
2.75088e+02	2.50030e-02
2.75788e+02	2.50482e-02
2.76488e+02	2.50935e-02
2.77189e+02	2.51390e-02
2.77889e+02	2.51846e-02
2.78589e+02	2.52302e-02
2.79290e+02	2.52761e-02
2.79990e+02	2.53220e-02
2.80690e+02	2.53681e-02
2.81391e+02	2.54143e-02
2.82091e+02	2.54606e-02
2.82791e+02	2.55070e-02
2.83492e+02	2.55536e-02
2.84192e+02	2.56003e-02
2.84892e+02	2.56471e-02
2.85593e+02	2.56941e-02
2.86293e+02	2.57412e-02
2.86993e+02	2.57884e-02
2.87694e+02	2.58358e-02
2.88394e+02	2.58833e-02
2.89095e+02	2.59309e-02
2.89795e+02	2.59786e-02
2.90495e+02	2.60265e-02
2.91196e+02	2.60745e-02
2.91896e+02	2.61227e-02
2.92596e+02	2.61710e-02
2.93297e+02	2.62194e-02
2.93997e+02	2.62679e-02
2.94697e+02	2.63166e-02
2.95398e+02	2.63654e-02
2.96098e+02	2.64144e-02
2.96798e+02	2.64635e-02
2.97499e+02	2.65128e-02
2.98199e+02	2.65621e-02
2.98899e+02	2.66116e-02
2.99600e+02	2.66613e-02
3.00300e+02	2.67111e-02
3.01001e+02	2.67610e-02
3.01701e+02	2.68111e-02
3.02401e+02	2.68613e-02
3.03102e+02	2.69117e-02
3.03802e+02	2.69622e-02
3.04502e+02	2.70129e-02
3.05203e+02	2.70636e-02
3.05903e+02	2.71146e-02
3.06603e+02	2.71657e-02
3.07304e+02	2.72169e-02
3.08004e+02	2.72683e-02
3.08704e+02	2.73198e-02
3.09405e+02	2.73714e-02
3.10105e+02	2.74233e-02
3.10805e+02	2.74752e-02
3.11506e+02	2.75273e-02
3.12206e+02	2.75796e-02
3.12906e+02	2.76320e-02
3.13607e+02	2.76846e-02
3.14307e+02	2.77373e-02
3.15008e+02	2.77902e-02
3.15708e+02	2.78432e-02
3.16408e+02	2.78963e-02
3.17109e+02	2.79497e-02
3.17809e+02	2.80031e-02
3.18509e+02	2.80568e-02
3.19210e+02	2.81106e-02
3.19910e+02	2.81645e-02
3.20610e+02	2.82186e-02
3.21311e+02	2.82729e-02
3.22011e+02	2.83273e-02
3.22711e+02	2.83819e-02
3.23412e+02	2.84366e-02
3.24112e+02	2.84915e-02
3.24812e+02	2.85465e-02
3.25513e+02	2.86017e-02
3.26213e+02	2.86571e-02
3.26913e+02	2.87127e-02
3.27614e+02	2.87684e-02
3.28314e+02	2.88242e-02
3.29015e+02	2.88802e-02
3.29715e+02	2.89364e-02
3.30415e+02	2.89928e-02
3.31116e+02	2.90493e-02
3.31816e+02	2.91060e-02
3.32516e+02	2.91629e-02
3.33217e+02	2.92199e-02
3.33917e+02	2.92771e-02
3.34617e+02	2.93344e-02
3.35318e+02	2.93920e-02
3.36018e+02	2.94497e-02
3.36718e+02	2.95076e-02
3.37419e+02	2.95656e-02
3.38119e+02	2.96238e-02
3.38819e+02	2.96822e-02
3.39520e+02	2.97408e-02
3.40220e+02	2.97995e-02
3.40920e+02	2.98584e-02
3.41621e+02	2.99175e-02
3.42321e+02	2.99768e-02
3.43022e+02	3.00363e-02
3.43722e+02	3.00959e-02
3.44422e+02	3.01557e-02
3.45123e+02	3.02157e-02
3.45823e+02	3.02758e-02
3.46523e+02	3.03362e-02
3.47224e+02	3.03967e-02
3.47924e+02	3.04574e-02
3.48624e+02	3.05183e-02
3.49325e+02	3.05794e-02
3.50025e+02	3.06407e-02
3.50725e+02	3.07021e-02
3.51426e+02	3.07638e-02
3.52126e+02	3.08256e-02
3.52826e+02	3.08876e-02
3.53527e+02	3.09498e-02
3.54227e+02	3.10122e-02
3.54927e+02	3.10748e-02
3.55628e+02	3.11375e-02
3.56328e+02	3.12005e-02
3.57029e+02	3.12637e-02
3.57729e+02	3.13270e-02
3.58429e+02	3.13905e-02
3.59130e+02	3.14543e-02
3.59830e+02	3.15182e-02
3.60530e+02	3.15823e-02
3.61231e+02	3.16467e-02
3.61931e+02	3.17112e-02
3.62631e+02	3.17759e-02
3.63332e+02	3.18409e-02
3.64032e+02	3.19060e-02
3.64732e+02	3.19713e-02
3.65433e+02	3.20368e-02
3.66133e+02	3.21026e-02
3.66833e+02	3.21685e-02
3.67534e+02	3.22347e-02
3.68234e+02	3.23010e-02
3.68934e+02	3.23676e-02
3.69635e+02	3.24343e-02
3.70335e+02	3.25013e-02
3.71036e+02	3.25685e-02
3.71736e+02	3.26359e-02
3.72436e+02	3.27035e-02
3.73137e+02	3.27713e-02
3.73837e+02	3.28393e-02
3.74537e+02	3.29075e-02
3.75238e+02	3.29760e-02
3.75938e+02	3.30447e-02
3.76638e+02	3.31135e-02
3.77339e+02	3.31826e-02
3.78039e+02	3.32520e-02
3.78739e+02	3.33215e-02
3.79440e+02	3.33913e-02
3.80140e+02	3.34613e-02
3.80840e+02	3.35315e-02
3.81541e+02	3.36019e-02
3.82241e+02	3.36725e-02
3.82941e+02	3.37434e-02
3.83642e+02	3.38145e-02
3.84342e+02	3.38858e-02
3.85043e+02	3.39574e-02
3.85743e+02	3.40292e-02
3.86443e+02	3.41012e-02
3.87144e+02	3.41734e-02
3.87844e+02	3.42459e-02
3.88544e+02	3.43186e-02
3.89245e+02	3.43916e-02
3.89945e+02	3.44647e-02
3.90645e+02	3.45382e-02
