# File written by the predict_spectrum.py script.
# frequency (cm^-1)	Intensity
2.37969e+02	2.44679e+04
2.38669e+02	2.66340e+04
2.39370e+02	2.90954e+04
2.40070e+02	3.19056e+04
2.40770e+02	3.51293e+04
2.41471e+02	3.88455e+04
2.42171e+02	4.31504e+04
2.42871e+02	4.81607e+04
2.43572e+02	5.40171e+04
2.44272e+02	6.08868e+04
2.44972e+02	6.89634e+04
2.45673e+02	7.84608e+04
2.46373e+02	8.95948e+04
2.47074e+02	1.02542e+05
2.47774e+02	1.17361e+05
2.48474e+02	1.33862e+05
2.49175e+02	1.51422e+05
2.49875e+02	1.68798e+05
2.50575e+02	1.84066e+05
2.51276e+02	1.94913e+05
2.51976e+02	1.99346e+05
2.52676e+02	1.96562e+05
2.53377e+02	1.87354e+05
2.54077e+02	1.73719e+05
2.54777e+02	1.58000e+05
2.55478e+02	1.42164e+05
2.56178e+02	1.27503e+05
2.56878e+02	1.14690e+05
2.57579e+02	1.03967e+05
2.58279e+02	9.53313e+04
2.58979e+02	8.86715e+04
2.59680e+02	8.38471e+04
2.60380e+02	8.07335e+04
2.61081e+02	7.92425e+04
2.61781e+02	7.93282e+04
2.62481e+02	8.09837e+04
2.63182e+02	8.42269e+04
2.63882e+02	8.90709e+04
2.64582e+02	9.54717e+04
2.65283e+02	1.03242e+05
2.65983e+02	1.11935e+05
2.66683e+02	1.20721e+05
2.67384e+02	1.28351e+05
2.68084e+02	1.33340e+05
2.68784e+02	1.34410e+05
2.69485e+02	1.31033e+05
2.70185e+02	1.23685e+05
2.70885e+02	1.13597e+05
2.71586e+02	1.02214e+05
2.72286e+02	9.07441e+04
2.72986e+02	7.99685e+04
2.73687e+02	7.02799e+04
2.74387e+02	6.17970e+04
2.75088e+02	5.44816e+04
2.75788e+02	4.82206e+04
2.76488e+02	4.28763e+04
2.77189e+02	3.83119e+04
2.77889e+02	3.44036e+04
2.78589e+02	3.10445e+04
2.79290e+02	2.81444e+04
2.79990e+02	2.56285e+04
2.80690e+02	2.34349e+04
2.81391e+02	2.15129e+04
2.82091e+02	1.98205e+04
2.82791e+02	1.83234e+04
2.83492e+02	1.69930e+04
2.84192e+02	1.58057e+04
2.84892e+02	1.47417e+04
2.85593e+02	1.37846e+04
2.86293e+02	1.29204e+04
2.86993e+02	1.21375e+04
2.87694e+02	1.14258e+04
2.88394e+02	1.07769e+04
2.89095e+02	1.01836e+04
2.89795e+02	9.63951e+03
2.90495e+02	9.13934e+03
2.91196e+02	8.67839e+03
2.91896e+02	8.25260e+03
2.92596e+02	7.85841e+03
2.93297e+02	7.49273e+03
2.93997e+02	7.15280e+03
2.94697e+02	6.83623e+03
2.95398e+02	6.54089e+03
2.96098e+02	6.26486e+03
2.96798e+02	6.00649e+03
2.97499e+02	5.76425e+03
2.98199e+02	5.53681e+03
2.98899e+02	5.32296e+03
2.99600e+02	5.12162e+03
3.00300e+02	4.93181e+03
3.01001e+02	4.75265e+03
3.01701e+02	4.58335e+03
3.02401e+02	4.42317e+03
3.03102e+02	4.27146e+03
3.03802e+02	4.12762e+03
3.04502e+02	3.99111e+03
3.05203e+02	3.86142e+03
3.05903e+02	3.73811e+03
3.06603e+02	3.62075e+03
3.07304e+02	3.50895e+03
3.08004e+02	3.40237e+03
3.08704e+02	3.30069e+03
3.09405e+02	3.20359e+03
3.10105e+02	3.11080e+03
3.10805e+02	3.02207e+03
3.11506e+02	2.93716e+03
3.12206e+02	2.85585e+03
3.12906e+02	2.77794e+03
3.13607e+02	2.70323e+03
3.14307e+02	2.63155e+03
3.15008e+02	2.56274e+03
3.15708e+02	2.49664e+03
3.16408e+02	2.43311e+03
3.17109e+02	2.37201e+03
3.17809e+02	2.31323e+03
3.18509e+02	2.25664e+03
3.19210e+02	2.20214e+03
3.19910e+02	2.14962e+03
3.20610e+02	2.09898e+03
3.21311e+02	2.05014e+03
3.22011e+02	2.00301e+03
3.22711e+02	1.95751e+03
3.23412e+02	1.91357e+03
3.24112e+02	1.87111e+03
3.24812e+02	1.83006e+03
3.25513e+02	1.79037e+03
3.26213e+02	1.75198e+03
3.26913e+02	1.71482e+03
3.27614e+02	1.67885e+03
3.28314e+02	1.64401e+03
3.29015e+02	1.61026e+03
3.29715e+02	1.57756e+03
3.30415e+02	1.54584e+03
3.31116e+02	1.51509e+03
3.31816e+02	1.48526e+03
3.32516e+02	1.45631e+03
3.33217e+02	1.42820e+03
3.33917e+02	1.40091e+03
3.34617e+02	1.37441e+03
3.35318e+02	1.34865e+03
3.36018e+02	1.32363e+03
3.36718e+02	1.29930e+03
3.37419e+02	1.27564e+03
3.38119e+02	1.25262e+03
3.38819e+02	1.23023e+03
