# File written by the predict_spectrum.py script.
# frequency (cm^-1)	Intensity
2.37969e+02	2.39327e+04
2.38669e+02	2.60247e+04
2.39370e+02	2.84004e+04
2.40070e+02	3.11108e+04
2.40770e+02	3.42180e+04
2.41471e+02	3.77977e+04
2.42171e+02	4.19418e+04
2.42871e+02	4.67622e+04
2.43572e+02	5.23934e+04
2.44272e+02	5.89956e+04
2.44972e+02	6.67540e+04
2.45673e+02	7.58732e+04
2.46373e+02	8.65599e+04
2.47074e+02	9.89830e+04
2.47774e+02	1.13199e+05
2.48474e+02	1.29026e+05
2.49175e+02	1.45870e+05
2.49875e+02	1.62541e+05
2.50575e+02	1.77202e+05
2.51276e+02	1.87639e+05
2.51976e+02	1.91949e+05
2.52676e+02	1.89363e+05
2.53377e+02	1.80640e+05
2.54077e+02	1.67690e+05
2.54777e+02	1.52755e+05
2.55478e+02	1.37714e+05
2.56178e+02	1.23803e+05
2.56878e+02	1.11667e+05
2.57579e+02	1.01537e+05
2.58279e+02	9.34102e+04
2.58979e+02	8.71804e+04
2.59680e+02	8.27139e+04
2.60380e+02	7.98928e+04
2.61081e+02	7.86356e+04
2.61781e+02	7.89053e+04
2.62481e+02	8.07097e+04
2.63182e+02	8.40950e+04
2.63882e+02	8.91292e+04
2.64582e+02	9.58703e+04
2.65283e+02	1.04307e+05
2.65983e+02	1.14262e+05
2.66683e+02	1.25254e+05
2.67384e+02	1.36353e+05
2.68084e+02	1.46130e+05
2.68784e+02	1.52835e+05
2.69485e+02	1.54920e+05
2.70185e+02	1.51683e+05
2.70885e+02	1.43609e+05
2.71586e+02	1.32118e+05
2.72286e+02	1.18935e+05
2.72986e+02	1.05528e+05
2.73687e+02	9.28697e+04
2.74387e+02	8.14591e+04
2.75088e+02	7.14590e+04
2.75788e+02	6.28362e+04
2.76488e+02	5.54626e+04
2.77189e+02	4.91770e+04
2.77889e+02	4.38178e+04
2.78589e+02	3.92379e+04
2.79290e+02	3.53097e+04
2.79990e+02	3.19258e+04
2.80690e+02	2.89966e+04
2.81391e+02	2.64486e+04
2.82091e+02	2.42211e+04
2.82791e+02	2.22642e+04
2.83492e+02	2.05371e+04
2.84192e+02	1.90056e+04
2.84892e+02	1.76419e+04
2.85593e+02	1.64224e+04
2.86293e+02	1.53277e+04
2.86993e+02	1.43413e+04
2.87694e+02	1.34494e+04
2.88394e+02	1.26403e+04
2.89095e+02	1.19040e+04
2.89795e+02	1.12319e+04
2.90495e+02	1.06167e+04
2.91196e+02	1.00522e+04
2.91896e+02	9.53279e+03
2.92596e+02	9.05378e+03
2.93297e+02	8.61102e+03
2.93997e+02	8.20090e+03
2.94697e+02	7.82025e+03
2.95398e+02	7.46625e+03
2.96098e+02	7.13644e+03
2.96798e+02	6.82863e+03
2.97499e+02	6.54087e+03
2.98199e+02	6.27143e+03
2.98899e+02	6.01876e+03
2.99600e+02	5.78147e+03
3.00300e+02	5.55832e+03
3.01001e+02	5.34818e+03
3.01701e+02	5.15005e+03
3.02401e+02	4.96301e+03
3.03102e+02	4.78623e+03
3.03802e+02	4.61897e+03
3.04502e+02	4.46053e+03
3.05203e+02	4.31031e+03
3.05903e+02	4.16773e+03
3.06603e+02	4.03227e+03
3.07304e+02	3.90346e+03
3.08004e+02	3.78086e+03
3.08704e+02	3.66408e+03
3.09405e+02	3.55274e+03
3.10105e+02	3.44651e+03
3.10805e+02	3.34507e+03
3.11506e+02	3.24813e+03
3.12206e+02	3.15543e+03
3.12906e+02	3.06673e+03
3.13607e+02	2.98178e+03
3.14307e+02	2.90038e+03
3.15008e+02	2.82233e+03
3.15708e+02	2.74745e+03
3.16408e+02	2.67556e+03
3.17109e+02	2.60651e+03
3.17809e+02	2.54014e+03
3.18509e+02	2.47632e+03
3.19210e+02	2.41491e+03
3.19910e+02	2.35580e+03
3.20610e+02	2.29887e+03
3.21311e+02	2.24401e+03
3.22011e+02	2.19111e+03
3.22711e+02	2.14010e+03
3.23412e+02	2.09087e+03
3.24112e+02	2.04335e+03
3.24812e+02	1.99745e+03
3.25513e+02	1.95311e+03
3.26213e+02	1.91024e+03
3.26913e+02	1.86879e+03
3.27614e+02	1.82869e+03
3.28314e+02	1.78989e+03
3.29015e+02	1.75232e+03
3.29715e+02	1.71594e+03
3.30415e+02	1.68070e+03
3.31116e+02	1.64654e+03
3.31816e+02	1.61343e+03
3.32516e+02	1.58132e+03
3.33217e+02	1.55017e+03
3.33917e+02	1.51994e+03
3.34617e+02	1.49059e+03
3.35318e+02	1.46210e+03
3.36018e+02	1.43443e+03
3.36718e+02	1.40754e+03
